Monitoring_SiteID,water_body,Determinand_Label,Analyzed_Matrix,Result_Unit,Reference_Year,Sampling_Period,LOQ_Value,Num_of_Samples,Quality_Samples,Quality_MinimumValue,Minimum_Value,Quality_Meanvalue,Mean_Value,Quality_MaximumValue,Maximum_value,Quality_MedianValue,Median_Value,UID,Country_Name,MinimumValue_outlier,MaxValue_outlier,MeanValue_outlier,Start_Date,End_Date
ATPG41103022,Ground Water,Bentazone,Water,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.0118,0,0.0118,0,0.0118,0,0.0118,11171735,Austria,0,0,0,2015-01-01,2015-12-31
ATPG41823022,Ground Water,Bentazone,Water,ug/L,2015,2015-01-01--2015-12-31,,3,0,0,0.1962,0,0.235066667,0,0.2985,0,0.2105,11171825,Austria,0,0,0,2015-01-01,2015-12-31
ATPG31100242,Ground Water,Desethylatrazine,Water,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.017,0,0.017,0,0.017,0,0.017,11172694,Austria,0,0,0,2015-01-01,2015-12-31
ATPG92200472,Ground Water,Desethylatrazine,Water,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.048,0,0.048,0,0.048,0,0.048,11173757,Austria,0,0,0,2015-01-01,2015-12-31
ATPG90100012,Ground Water,Arsenic and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,1.6,0,1.6,0,1.6,0,1.6,11181561,Austria,0,0,0,2015-01-01,2015-12-31
ATPG31200352,Ground Water,Arsenic and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,1.7,0,1.7,0,1.7,0,1.7,11181579,Austria,0,0,0,2015-01-01,2015-12-31
ATKK71410072,Ground Water,Arsenic and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,2.13465,0,2.13465,0,2.13465,0,2.13465,11181620,Austria,0,0,0,2015-01-01,2015-12-31
ATPG70312052,Ground Water,Arsenic and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,2.60506,0,2.60506,0,2.60506,0,2.60506,11181643,Austria,0,0,0,2015-01-01,2015-12-31
ATPG20923032,Ground Water,Arsenic and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,12.45,0,12.45,0,12.45,0,12.45,11181712,Austria,0,0,0,2015-01-01,2015-12-31
CZPOD_1144,River Water,pH,Water,[pH],2015,2015-01-20--2015-12-10,,12,,0,7.28,0,7.67583,0,7.93,0,7.73,11154006,Czech Republic,0,0,0,2015-01-20,2015-12-10
